pmid,title,abstract,publication_date,publication_year,journal,volume,issue,pages,language,relevant,dois,publication_types,mesh_terms,keywords
12507077,Can magnetic resonance imaging alone accurately define the arteriovenous nidus for gamma knife radiosurgery?,"OBJECT: Current radiosurgical treatment of arteriovenous malformations (AVMs) relies on planning protocols that integrate data from both magnetic resonance (MR) imaging and stereotactic angiography studies. Angiography, however, is invasive and associated with a small but well-defined risk of neurological and systemic complications. Magnetic resonance imaging, on the other hand, is noninvasive with multiplanar capability, demonstrates good anatomical detail, and has been shown to be superior to angiography in the delineation of selected AVMs. METHODS: In this study, MR imaging-related accuracy of defining the AVM nidus in gamma knife radiosurgery is investigated using only T1- and T2-weighted sequences. CONCLUSIONS: Little interobserver variability was observed and AVM nidi, as demonstrated on T1- and T2-weighted MR images, were well correlated in terms of size. The displacement of the new target, however, from the original nidus, was not predictable and occasionally was significant, thus precluding safe radiosurgical planning.",2002 Dec,2002,Journal of neurosurgery,97,5 Suppl,464-70,eng,False,10.3171/jns.2002.97.supplement,Journal Article,Cerebral Angiography;Humans;Intracranial Arteriovenous Malformations/*pathology/*surgery;Magnetic Resonance Imaging/*standards/statistics & numerical data;Observer Variation;Predictive Value of Tests;*Radiosurgery;Reproducibility of Results,
12507095,Experimentally determined three-dimensional dose distributions in small complex targets.,"OBJECT: The purpose of the paper is to describe a workable three-dimensional dosimetry system for use in quality assurance programs of departments in which radiosurgery is performed. METHODS: A system was developed on the basis of radiochromatic films. The experimental findings of the measured dose distributions for small complex-shaped targets, within a specially designed phantom, are described and compared with the same parameters calculated from the corresponding dose plan. The following parameters were determined for 83 patients with irregularly shaped targets who underwent gamma knife radiosurgery (GKS): target volume; dose-volume histograms of the target; 12-Gy, 15-Gy, and 18-Gy volumes; dose plan conformity; dose fall profiles in all dimensions to 50% of the prescription dose; and a quality factor (QF) to evaluate the adequacy of a GKS plan or treatment. The precise function and accuracy of the developed measuring device is shown and it demonstrated the expected steep dose falloff outside the irregularly shaped targets in all directions. The dose falloff was of the order of > 3 Gy/mm and the values of the QF were in the range between 0.5 and 0.9. CONCLUSIONS: A comparison with data from the literature shows that at least for small targets (< 2 cm3 and < 2.5 cm3) simulated within a head phantom, the dose gradient is significantly steeper in all directions than when using alternative treatment devices in radiosurgery and the overall QF is superior in most of the cases.",2002 Dec,2002,Journal of neurosurgery,97,5 Suppl,551-5,eng,False,10.3171/jns.2002.97.supplement,Journal Article,"Adenoma/surgery;Humans;Intracranial Arteriovenous Malformations/surgery;Meningeal Neoplasms/*surgery;Meningioma/*surgery;Neuroma, Acoustic/surgery;Phantoms, Imaging;Pituitary Neoplasms/surgery;Radiation Dosage;Radiosurgery/*methods",
12507076,Effect of a single high-dose gamma irradiation on cultured cells in human cerebral arteriovenous malformation.,"OBJECT: The purpose of this study was to analyze the effect of single high-dose gamma irradiation at a cellular biological level on tissue cultures obtained in patients who underwent surgery for cerebral arteriovenous malformation (AVM). METHODS: The cell proliferation indices and changes in activation of p53, p21Waf-1, and mdm-2 were determined. Additionally, immunohistochemical investigations for vimentin, desmin, alpha-smooth muscle actin (alpha-SMA), glial fibrillary acidic protein, Factor VIII-related antigen (F-VIII), cytokeratin, S100, and transforming growth factor-beta (TGFbeta) were performed on cultured AVM cells after a single high-dose irradiation. Normal human brain microvessel endothelial (HBE) cells and aortic smooth muscle cells served as controls. The proliferation index decreased on the 5th day after irradiation and remained depressed over the observation period in the irradiated AVM cultures. The p53, p21Waf-1, and mdm-2 messenger RNA measurements showed considerable elevation both in AVM cultures and HBE cells after 15-Gy irradiation, which indicated apoptosis. Immunohistochemistry revealed strong vimentin positivity in the nonirradiated cultures, which gradually decreased in the irradiated cultures. Transforming growth factor-beta positivity was demonstrated in the irradiated specimens, indicating transformation of fibroblastic cells into activated myofibroblastic elements. This transformation was confirmed by demonstrating elevated SMA expression as well in the radiation-treated fibroblasts. CONCLUSIONS: The presence of TGFbeta and alpha-SMA activity in the irradiated AVM cells suggests that along with the genetically confirmed apoptotic activity, fibroblast transformation into myofibroblasts might be one of the mechanisms leading to shrinkage and obliteration of AVMs after single high-dose gamma irradiation.",2002 Dec,2002,Journal of neurosurgery,97,5 Suppl,459-63,eng,False,10.3171/jns.2002.97.supplement,Journal Article,"Actins/analysis;Antimetabolites/pharmacokinetics;Bromodeoxyuridine/pharmacokinetics;Cell Division/radiation effects;Cells, Cultured;Cyclin-Dependent Kinase Inhibitor p21;Cyclins/genetics;Fibroblasts/chemistry/cytology/*radiation effects;Gamma Rays;Humans;*Intracranial Arteriovenous Malformations;*Nuclear Proteins;Proto-Oncogene Proteins/genetics;Proto-Oncogene Proteins c-mdm2;RNA, Messenger/analysis;Radiosurgery;Tumor Suppressor Protein p53/genetics;Vimentin/analysis",
8271010,Radiosurgery and venous malformations.,,1994 Jan,1994,Journal of neurosurgery,80,1,175; author reply 175-7,eng,False,,Comment;Letter,Adult;Brain Neoplasms/complications/*surgery;Cavernous Sinus/abnormalities;Cerebral Veins/*abnormalities;Child;Hemangioma/complications/*surgery;Humans;Intracranial Arteriovenous Malformations/complications;*Radiosurgery/adverse effects;Treatment Outcome,
35178626,Gamma Knife radiosurgery for cerebral arteriovenous malformations: a systematic review and meta-analysis.,,2022 Jun,2022,Neurosurgical review,45,3,1987-2004,eng,False,10.1007/s10143-022-01751-1;10.1007/s10143-022-01751-1;1751;10.1007/s10143-022-01751-1,"Journal Article;Meta-Analysis;Research Support, Non-U.S. Gov't;Review;Systematic Review",Humans;*Intracranial Arteriovenous Malformations/surgery;*Radiosurgery;Retrospective Studies;Treatment Outcome,AVM;Arteriovenous malformation;Gamma knife radiosurgery;Intracranial haemorrhage;Radiation-induced changes;Stereotactic radiosurgery
26120622,Response.,,2015 May,2015,Journal of neurosurgery,122,5,1251,eng,False,,Comment;Letter,Female;Humans;Intracranial Arteriovenous Malformations/*surgery;Male;Radiosurgery/*methods,
7791907,[Stereotactic radiosurgery].,,1995 Jun 3,1995,Nederlands tijdschrift voor geneeskunde,139,22,1119-23,dut,False,,Journal Article;Review,Brain Diseases/*surgery;Brain Neoplasms/surgery;Humans;Intracranial Arteriovenous Malformations/surgery;Radiosurgery/instrumentation/*methods,
8622172,Cavernous malformations.,,1996 May,1996,Journal of neurosurgery,84,5,894-5,eng,False,,Comment;Letter,Humans;Intracranial Arteriovenous Malformations/*surgery;Radiosurgery;Risk Factors,
9010443,Embolization and radiosurgery for AVMs.,,1997 Feb,1997,Journal of neurosurgery,86,2,319-20; author reply 320-1,eng,False,,Comment;Letter,"Embolization, Therapeutic;Humans;Intracranial Arteriovenous Malformations/*therapy;Radiosurgery/methods;Treatment Outcome",
9555162,[Multidisciplinary treatment of cerebral arteriovenous malformations: preliminary results in 115 consecutive patients].,,1997 Dec 27,1997,Nederlands tijdschrift voor geneeskunde,141,52,2587-8,dut,False,,Comment;Letter,Humans;Intracranial Arteriovenous Malformations/*surgery;Radiosurgery/*methods/statistics & numerical data;Stereotaxic Techniques,
9647195,Arteriovenous malformations after radiosurgery.,,1998 Jul,1998,Journal of neurosurgery,89,1,170; author reply 171-2,eng,False,,Comment;Letter,Follow-Up Studies;Humans;Intracranial Arteriovenous Malformations/*pathology/surgery;Radiation Injuries/etiology;*Radiosurgery;Radiotherapy Dosage;Reoperation;Risk Factors,
9322859,Arteriovenous malformations and magnetic resonance imaging.,,1997 Oct,1997,Journal of neurosurgery,87,4,648; author reply 648-9,eng,False,,Comment;Letter,"Adult;Angiography, Digital Subtraction;Cerebral Angiography;Cerebral Hemorrhage/etiology;Follow-Up Studies;Humans;Intracranial Arteriovenous Malformations/diagnosis/*surgery;*Magnetic Resonance Imaging;Radiosurgery;Regional Blood Flow",
9761074,Radiosurgery and microsurgery for AVMs.,,1998 Oct,1998,Journal of neurosurgery,89,4,691-3,eng,False,,Comment;Letter,Bias;Cerebral Hemorrhage/etiology;Cohort Studies;Humans;Intracranial Arteriovenous Malformations/*surgery;*Microsurgery/adverse effects;Patient Selection;*Radiosurgery/adverse effects;Risk Factors;Treatment Outcome,
20670561,The role of intravascular embolization prior to radiosurgery of cerebral arteriovenous malformations. from the standpoint of hemorrhage and early obliteration after gamma knife radiosurgery.,"The role of intravascular embolization prior to radiosurgery of cerebral arteriovenous malformations was evaluated based on the basis of the results of gamma knife radiosurgery in relation to hemorrhage and early obliteration after treatment. Nine of 213 patients experienced hemorrhage 4 to 42 months after radiosurgery. All AVMs in these patients had dilated feeding arteries, and the flow of the AVM was rapid and/or high. An intranidal aneurysm was seen in one patient. Drainage of all AVMs consisted of a single and/or deep draining veins, and venous obstruction was found in six. Sixty-three of 87 patients followed for more than four years after radiosurgery were examined angiographically, and total obliteration of AVM was observed in 52 of them (82.5%). Early obliteration was found in 19 of the 34 patients examined within 12 months. The obliteration rate was significantly higher in slow- and low-flow AVMs (73.9%) than in rapid- and/or high-flow AVMs (18.2%). It is concluded that the role of intravascular embolization prior to radiosurgery is not only decreasing the size of the AVM but decreasing the risk of hemorrhage and shortening the latency period by decreasing their flow rate and flow volume.",1999 Nov,1999,"Interventional neuroradiology : journal of peritherapeutic neuroradiology,",5 Suppl 1,,171-6,eng,False,IN.v5.suppl;10.1177/15910199990050S131,Journal Article,,
20670559,Efficacy of diluted NBCA mixture for embolization of arteriovenous malformations.,"The purpose of this study is to evaluate the efficacy and problems of the embolization for cerebral arteriovenous malformations (AVMs) with diluted cyanoacrylate adhesives. Twelve consecutive AVM cases were treated with N-butyl-2-cyanoacrylate (NBCA) glues between January 1997 and July 1998. The mean age of the patients was 37 years old. Intracerebral hemorrhage was the presenting symptom in seven cases, seizure in three, headache in one and mental deterioration in one. According to the classification of Spetzler and Martin, seven were Grade II, five were Grade III. We used a mixture of NBCA (normally 25% Histoacryl, 75% Ethidol) for embolization. Microcatheter was navigated into the nidus and the tip of the catheter was set in a wedged position. Then the glue was injected using complete column technique. Nineteen sessions of embolization were performed in 12 patients. The mean volume of each nidus was reduced from 22.5 ml to 3.4 ml (85%) after embolization. Four cases were cured by embolization alone. Surgical resection was performed after embolization without any residual nidus in three cases. Five were treated with stereotactic radiosurgery following embolization. One was completely cured in 18 months after and the other four have been decreasing their sizes of nidus. One case was suffered from delayed intracerebral hemorrhage three days after embolization, and resulted in mild hemiparesis and memory disturbance. The others had no complications and were clinically improved or unchanged after embolization. It is possible to embolize the nidus of AVMs more accurately and safely with diluted mixture of NBCA, compared with the method using relatively higher concentration of NBCA glues. This technique is useful and effective method for the treatment of AVMs.",1999 Nov,1999,"Interventional neuroradiology : journal of peritherapeutic neuroradiology,",5 Suppl 1,,161-5,eng,False,IN.v5.suppl;10.1177/15910199990050S129,Journal Article,,
